area,area_name
07,Wilshire
01,Central
03,Southwest
09,Van Nuys
06,Hollywood
18,Southeast
01,Central
03,Southwest
13,Newton
19,Mission
18,Southeast
19,Mission
02,Rampart
04,Hollenbeck
10,West Valley
02,Rampart
03,Southwest
18,Southeast
13,Newton
07,Wilshire
10,West Valley
07,Wilshire
08,West LA
10,West Valley
19,Mission
20,Olympic
04,Hollenbeck
21,Topanga
11,Northeast
21,Topanga
12,77th Street
08,West LA
12,77th Street
12,77th Street
11,Northeast
14,Pacific
02,Rampart
12,77th Street
18,Southeast
15,N Hollywood
04,Hollenbeck
19,Mission
10,West Valley
12,77th Street
02,Rampart
15,N Hollywood
13,Newton
09,Van Nuys
19,Mission
06,Hollywood
03,Southwest
12,77th Street
15,N Hollywood
05,Harbor
02,Rampart
16,Foothill
15,N Hollywood
06,Hollywood
11,Northeast
17,Devonshire
17,Devonshire
07,Wilshire
04,Hollenbeck
01,Central
06,Hollywood
01,Central
08,West LA
17,Devonshire
11,Northeast
17,Devonshire
19,Mission
18,Southeast
17,Devonshire
10,West Valley
19,Mission
14,Pacific
12,77th Street
15,N Hollywood
14,Pacific
15,N Hollywood
18,Southeast
12,77th Street
03,Southwest
08,West LA
18,Southeast
14,Pacific
15,N Hollywood
02,Rampart
03,Southwest
18,Southeast
12,77th Street
09,Van Nuys
10,West Valley
21,Topanga
03,Southwest
03,Southwest
14,Pacific
19,Mission
15,N Hollywood
07,Wilshire
11,Northeast
02,Rampart
17,Devonshire
11,Northeast
17,Devonshire
07,Wilshire
15,N Hollywood
09,Van Nuys
12,77th Street
02,Rampart
11,Northeast
20,Olympic
13,Newton
14,Pacific
17,Devonshire
19,Mission
02,Rampart
06,Hollywood
13,Newton
15,N Hollywood
15,N Hollywood
01,Central
12,77th Street
13,Newton
05,Harbor
06,Hollywood
15,N Hollywood
13,Newton
21,Topanga
10,West Valley
16,Foothill
18,Southeast
13,Newton
09,Van Nuys
13,Newton
20,Olympic
19,Mission
01,Central
13,Newton
09,Van Nuys
19,Mission
16,Foothill
01,Central
06,Hollywood
02,Rampart
10,West Valley
21,Topanga
20,Olympic
02,Rampart
18,Southeast
07,Wilshire
02,Rampart
18,Southeast
07,Wilshire
12,77th Street
10,West Valley
10,West Valley
14,Pacific
18,Southeast
04,Hollenbeck
12,77th Street
21,Topanga
12,77th Street
05,Harbor
08,West LA
19,Mission
09,Van Nuys
12,77th Street
12,77th Street
17,Devonshire
07,Wilshire
05,Harbor
09,Van Nuys
10,West Valley
12,77th Street
18,Southeast
05,Harbor
10,West Valley
03,Southwest
10,West Valley
03,Southwest
12,77th Street
06,Hollywood
12,77th Street
14,Pacific
01,Central
07,Wilshire
07,Wilshire
07,Wilshire
09,Van Nuys
10,West Valley
10,West Valley
17,Devonshire
04,Hollenbeck
12,77th Street
06,Hollywood
11,Northeast
12,77th Street
20,Olympic
20,Olympic
12,77th Street
07,Wilshire
13,Newton
17,Devonshire
11,Northeast
04,Hollenbeck
11,Northeast
19,Mission
18,Southeast
16,Foothill
17,Devonshire
13,Newton
12,77th Street
19,Mission
13,Newton
05,Harbor
13,Newton
11,Northeast
05,Harbor
14,Pacific
15,N Hollywood
12,77th Street
06,Hollywood
05,Harbor
02,Rampart
09,Van Nuys
20,Olympic
13,Newton
04,Hollenbeck
13,Newton
14,Pacific
04,Hollenbeck
17,Devonshire
18,Southeast
06,Hollywood
15,N Hollywood
19,Mission
20,Olympic
18,Southeast
07,Wilshire
16,Foothill
08,West LA
06,Hollywood
10,West Valley
12,77th Street
12,77th Street
13,Newton
05,Harbor
07,Wilshire
17,Devonshire
12,77th Street
03,Southwest
05,Harbor
11,Northeast
12,77th Street
12,77th Street
18,Southeast
04,Hollenbeck
07,Wilshire
15,N Hollywood
20,Olympic
13,Newton
21,Topanga
03,Southwest
19,Mission
02,Rampart
18,Southeast
06,Hollywood
14,Pacific
18,Southeast
02,Rampart
17,Devonshire
16,Foothill
18,Southeast
11,Northeast
06,Hollywood
16,Foothill
20,Olympic
19,Mission
12,77th Street
20,Olympic
13,Newton
03,Southwest
08,West LA
02,Rampart
02,Rampart
07,Wilshire
16,Foothill
19,Mission
16,Foothill
02,Rampart
08,West LA
14,Pacific
01,Central
19,Mission
03,Southwest
06,Hollywood
04,Hollenbeck
05,Harbor
12,77th Street
14,Pacific
19,Mission
01,Central
03,Southwest
21,Topanga
03,Southwest
11,Northeast
15,N Hollywood
13,Newton
06,Hollywood
09,Van Nuys
09,Van Nuys
08,West LA
21,Topanga
10,West Valley
17,Devonshire
05,Harbor
07,Wilshire
12,77th Street
05,Harbor
13,Newton
19,Mission
03,Southwest
18,Southeast
01,Central
13,Newton
01,Central
01,Central
12,77th Street
15,N Hollywood
12,77th Street
06,Hollywood
07,Wilshire
18,Southeast
13,Newton
08,West LA
10,West Valley
09,Van Nuys
02,Rampart
06,Hollywood
16,Foothill
06,Hollywood
16,Foothill
21,Topanga
04,Hollenbeck
07,Wilshire
17,Devonshire
16,Foothill
20,Olympic
17,Devonshire
20,Olympic
06,Hollywood
05,Harbor
14,Pacific
03,Southwest
21,Topanga
16,Foothill
02,Rampart
12,77th Street
17,Devonshire
20,Olympic
12,77th Street
13,Newton
19,Mission
05,Harbor
07,Wilshire
03,Southwest
17,Devonshire
08,West LA
11,Northeast
