crm_cd,crm_cd_desc
510,VEHICLE - STOLEN
330,BURGLARY FROM VEHICLE
480,BIKE - STOLEN
343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER)
354,THEFT OF IDENTITY
354,THEFT OF IDENTITY
354,THEFT OF IDENTITY
354,THEFT OF IDENTITY
354,THEFT OF IDENTITY
624,BATTERY - SIMPLE ASSAULT
354,THEFT OF IDENTITY
821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH
812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)
812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)
510,VEHICLE - STOLEN
810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ"
354,THEFT OF IDENTITY
354,THEFT OF IDENTITY
354,THEFT OF IDENTITY
230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD"
341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"
341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"
121,"RAPE, FORCIBLE"
812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)
812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)
510,VEHICLE - STOLEN
354,THEFT OF IDENTITY
930,CRIMINAL THREATS - NO WEAPON DISPLAYED
668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)"
354,THEFT OF IDENTITY
624,BATTERY - SIMPLE ASSAULT
354,THEFT OF IDENTITY
354,THEFT OF IDENTITY
330,BURGLARY FROM VEHICLE
420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
930,CRIMINAL THREATS - NO WEAPON DISPLAYED
354,THEFT OF IDENTITY
354,THEFT OF IDENTITY
354,THEFT OF IDENTITY
354,THEFT OF IDENTITY
354,THEFT OF IDENTITY
354,THEFT OF IDENTITY
813,CHILD ANNOYING (17YRS & UNDER)
812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)
354,THEFT OF IDENTITY
354,THEFT OF IDENTITY
354,THEFT OF IDENTITY
