record_id,date_rptd,date_occ,time_occ,crm_cd,weapon_used_cd,status,part_1_2
9,2020-12-31T00:00:00.000,2020-12-31T00:00:00.000,12:20,624,400,IC,2
11,2022-04-12T00:00:00.000,2020-10-01T00:00:00.000,00:01,821,400,IC,1
12,2023-01-05T00:00:00.000,2020-02-01T00:00:00.000,08:00,812,400,IC,2
13,2023-06-19T00:00:00.000,2020-04-11T00:00:00.000,12:00,812,400,IC,2
19,2020-11-27T00:00:00.000,2020-11-27T00:00:00.000,18:00,230,307,AA,1
23,2023-01-26T00:00:00.000,2020-12-01T00:00:00.000,00:05,121,400,IC,1
24,2023-03-21T00:00:00.000,2020-03-15T00:00:00.000,12:00,812,400,AO,2
25,2023-06-04T00:00:00.000,2020-07-01T00:00:00.000,12:00,812,400,IC,2
28,2022-02-02T00:00:00.000,2020-02-09T00:00:00.000,12:00,930,500,AO,2
31,2022-04-28T00:00:00.000,2020-03-30T00:00:00.000,16:30,624,400,IC,2
37,2021-09-27T00:00:00.000,2020-11-26T00:00:00.000,20:00,930,511,AO,2
45,2022-01-06T00:00:00.000,2020-10-30T00:00:00.000,00:01,812,500,AA,2
49,2023-06-02T00:00:00.000,2020-05-31T00:00:00.000,04:30,310,500,IC,1
59,2022-03-18T00:00:00.000,2020-03-01T00:00:00.000,20:00,812,400,IC,2
66,2023-11-27T00:00:00.000,2020-09-13T00:00:00.000,21:00,626,400,IC,2
77,2023-02-08T00:00:00.000,2020-09-01T00:00:00.000,12:00,812,400,IC,2
83,2023-06-02T00:00:00.000,2020-05-28T00:00:00.000,06:09,930,511,IC,2
90,2022-04-07T00:00:00.000,2020-01-01T00:00:00.000,08:00,812,400,AO,2
94,2022-07-06T00:00:00.000,2020-06-30T00:00:00.000,14:00,626,400,IC,2
101,2022-03-21T00:00:00.000,2020-10-01T00:00:00.000,22:00,210,500,IC,1
104,2022-03-22T00:00:00.000,2020-10-01T00:00:00.000,12:00,815,400,IC,1
106,2023-05-22T00:00:00.000,2020-05-08T00:00:00.000,12:00,626,400,AO,2
120,2022-10-13T00:00:00.000,2020-10-13T00:00:00.000,12:00,860,400,AO,2
121,2023-08-16T00:00:00.000,2020-08-27T00:00:00.000,21:00,236,400,AO,1
122,2022-01-15T00:00:00.000,2020-10-10T00:00:00.000,08:20,820,400,IC,1
123,2023-08-21T00:00:00.000,2020-01-01T00:00:00.000,15:30,812,511,IC,2
124,2022-10-16T00:00:00.000,2020-07-01T00:00:00.000,18:00,812,400,AO,2
127,2022-09-09T00:00:00.000,2020-06-01T00:00:00.000,19:00,810,400,IC,2
130,2022-06-30T00:00:00.000,2020-08-01T00:00:00.000,12:00,930,511,AO,2
140,2023-02-08T00:00:00.000,2020-01-01T00:00:00.000,00:01,812,400,IC,2
144,2023-10-02T00:00:00.000,2020-01-01T00:00:00.000,09:00,812,400,IC,2
155,2022-11-14T00:00:00.000,2020-07-24T00:00:00.000,15:00,761,500,IC,1
156,2022-07-05T00:00:00.000,2020-03-01T00:00:00.000,12:00,626,400,AA,2
