record_id,crm_cd,other_crm_cds,mocodes
1,330,998,1822 1402 0344
2,480,,0344 1251
3,343,,0325 1501
4,354,,1822 1501 0930 2004
5,354,,1822 0100 0930 0929
6,354,,0930 0929
7,354,,0100
8,354,,0100
9,624,,0416
10,354,,1822 0930
11,821,821,0913 2024 1817 0360 1258 0507
12,812,860,1251 1258 0913 0400 0500 0522 1817
13,812,860,1258 0522 0400 0551 0360 0913
15,810,,2000 1251 1259 0522 0507 0913
16,354,,0100 0928 0929 0935 1822
17,354,,0928 1822
18,354,,0100
19,230,,1309 0400
20,956,,2041 1906 1822
22,341,,0352 1822 0344
23,121,812,0913 1810 0400
24,812,860,1259 0913 1817 1801 0503
25,812,860,1251 1258 0400 0522 0913 0551 2021
27,354,,1822 0929 0930
28,930,,1912 0913
30,354,,0928
31,624,,2000 1813 0913 0416
32,354,,0100 0917 1822
33,354,,0100 0928
34,330,,0344 1302 1307
37,930,,0913 0400 0443 1814 2000
38,354,,0100 1822 0930 0922
39,354,,0377
40,354,,0100
41,354,,0917
42,354,,1822 0935 1202
43,354,,0930 0929 0928 1822
44,813,,1822 0359 1251 1259
45,812,,0522 0500 1258
46,354,,0100
47,354,,0922 0929 0923 0930
48,354,,0928
49,310,,1822 1607 0216 0344
50,354,,0929 1822 0100 0930 0922
51,354,,0100
52,903,,0913 2038
53,341,,0344 1202 1606
54,354,,0100 0928 1202
55,354,,0928
56,354,,1817
58,440,,0344
59,812,860,1251 2021 1258 0522 0360 0913
60,354,,0917 0929
61,354,,1501
62,354,,0100
63,354,,0928 1822
64,354,,0928
65,341,,1822 1414 0947 0344
66,626,,1814 0913 0400
67,440,,0344
68,330,,0344
69,354,,0929 1822
70,354,,0923
71,762,,0913 0602 0360 0545 0536 0531 1258
72,441,,0352 0344 1202 2004 2021 0913 1817
73,354,,1822 0929
75,310,,0397 0344
76,354,,0100 0930 1822
77,812,860,0400 0416
78,354,,0928
80,354,,1822 0100 0344
81,354,,1822 0930 0929
82,354,,0100 0925 0930 1202 1822
83,930,,1906 1912
86,330,,1300 0344
87,956,,0913 1817 1906
88,331,,0344 0385 1251 1300 1606 1822 0329 1309
89,354,,0928 1822
90,812,860,1258 0913 0602 0522 0556 0400
91,354,,0100 0928 0344 1822
92,354,,1822
93,956,,1906
94,626,,0913 2000 1814 0416 0446
96,946,,0913 1813
97,330,,1612 0385
99,354,,1822 0922 0100
100,354,,0100 0928
101,210,,1822 0416
102,662,,0701
104,815,,0913 1251 0400 0515 0522 1258 0360
105,354,,0923 0930 1822 0928
106,626,,2000 0448
107,354,,1822 0100 0923
109,330,,0344 0329
110,354,,1822 1501 0100
111,662,,0701 0800 0344 1822
112,354,,1822 0100
114,354,,0929 0930
116,354,,0100 0930
117,354,,1822
118,354,,0100
119,354,,0377 1822
120,860,,0913 1810
121,236,,2000 1814 0408 0329 0421 0400
122,820,820,1203 1251 1258 0913 0500 0507 0549 0360
123,812,813,0914 1817 0913
124,812,860,0522 0556 1259 0913 0448
125,661,,1822 1914
126,354,,0377
127,810,998,0527 0913 1259 1402 1309
128,354,,1822
129,354,,1822 1908
130,930,,0421 2021
131,354,,0930
132,354,,0100 0928
133,354,,1501
134,354,,0100
135,354,,1822
136,901,,1259 2038
137,354,,0928
138,354,,0100 0930 1822
139,442,,0325 1420
140,812,860,0913 1817 0556 1258 0522
141,354,,1501
142,740,,1822 0329
143,354,,0928 1822 0344
144,812,860,0522 0913 0602 0554 1259
145,354,,1822
146,354,,1822 0930
147,341,,0344 1202 1822 2032
148,354,,0100
149,946,,0913 0935
150,354,,0929
151,354,,1822 0100 0917
152,440,,1822 0344 0377 0910
153,310,,1822 0344 1607 1300
154,354,,0100
155,761,,1202 1822 0334
156,626,,2000 1813 0416
157,440,,0344
158,354,,0922 0928 0929 0930 1202 1822
159,649,,0601 1202 0344 0360 0913
160,845,,1501
161,354,,0929 0928
162,354,,0100 1202
163,331,,0385 1300
164,354,,1501
165,626,,2000 1813 0913 0448
166,354,,1822 0917
167,440,,0344
168,310,,1202 0329 1300
169,354,,1822 0100 0928
170,354,,1822 0100
171,354,,0922 0929 0377
172,354,,1822
173,354,,1822 0928
174,354,,0100 1822 0922
175,354,,0930 0928 1822 0100
176,662,,0344 0701 0800
178,845,,1501 1309
179,236,,2000 0416 0400 0913 1814 0446 0408 0444 1414
180,812,860,0913 0558 0503 0510 1258 1251 0448
181,956,,1906
182,354,,1822 0930 0928
183,354,,0100 0917 0929 0930 0935 0928 1822
184,956,,1906
185,668,,0344 1803
186,440,,0344 0913
187,662,,0344
188,354,,0100 1822
189,310,,0397 0344
190,330,,1607 0344
191,354,,1822 0917 0929
192,354,,0929 0930 1822
193,121,,1258 0527
194,354,,0100 0931 0930
195,626,,0400 2000 1813 0416 0417 0446
