record_id,location,cross_street,rpt_dist_no,premis_cd,area,lat,lon
14,VALJEAN ST,VANOWEN                      AV,1029,101,10,34.1939,-118.4859
35,WASHINGTON PL,INGLEWOOD,1446,101,14,34.0022,-118.4255
65,6TH ST,GLADYS                       AV,0158,102,01,34.0403,-118.2421
84,90TH,WALL,1802,101,18,33.9547,-118.2717
94,VERMONT AV,43RD                         ST,0396,501,03,34.0055,-118.2915
117,WILTON,LEXINGTON,0668,501,06,34.0928,-118.3136
136,CANTERBURY,OSBORNE,1977,101,19,34.2373,-118.4327
155,SHERMAN WY,ENCINO,1017,102,10,34.2012,-118.5133
156,SHIRLEY,ROSCOE                       BL,1001,101,10,34.2204,-118.5579
157,CAMPUS CENTER DR,BLUFF CREEK                  DR,1464,203,14,33.9775,-118.4065
190,GLORIA,BASSETT,1029,101,10,34.1961,-118.4793
204,KENMORE ST,FOUNTAIN,1161,101,11,34.0953,-118.2974
214,12TH ST,SAN PEDRO                    ST,1303,124,13,34.0337,-118.2533
234,YUCCA ST,HIGHLAND                     AV,0636,102,06,34.1032,-118.3387
247,PACIFIC COAST,MAHAR,0528,101,05,33.791,-118.2469
253,LOS FELIZ BL,CRYSTAL SPRINGS              DR,1122,122,11,34.117,-118.2717
262,TOPANGA CANYON,VENTURA,2175,108,21,34.1732,-118.6152
297,PERCY,SPENCE,0464,102,04,34.0445,-118.2116
304,VANOWEN ST,WINNETKA                     AV,2148,103,21,34.1938,-118.571
319,SANFORD,ANAHEIM,0521,101,05,33.7694,-118.2955
325,65TH ST,BROADWAY,1391,501,13,33.9807,-118.2783
337,VANOWEN,WOODMAN,0916,502,09,34.1939,-118.4313
351,LEXINGTON,EL CENTRO,0666,101,06,34.0926,-118.3245
393,FIGUEROA,GAGE,1249,101,12,33.9824,-118.2827
404,SATICOY AV,CANBY                        ST,1015,101,10,34.2084,-118.5347
407,S WESTERN AV,W  SLAUSON                      AV,1233,124,12,33.9888,-118.3089
415,DE SOTO AV,PARTHENIA                    ST,1781,101,17,34.2282,-118.5885
434,VANOWEN,DE SOTO,2157,101,21,34.1938,-118.5884
438,UNK FOOTHILL,DIVISION,1613,501,16,34.2758,-118.4052
499,VANOWEN,WOODMAN,0916,501,09,34.1939,-118.4313
503,6TH ST,CROCKER,0157,101,01,34.0423,-118.2453
533,BESSEMER,RANCHITO,0937,101,09,34.1812,-118.4356
579,MAIN ST,CLUBHOUSE                    AV,1431,101,14,33.988,-118.4703
627,UNKNOWN,UNKNOWN,1916,501,19,34.306,-118.4413
645,AETNA,ATOLL,0939,101,09,34.1803,-118.4204
679,MAIN ST,29TH                         ST,1331,101,13,34.0225,-118.2702
706,PASEO LUIS OLIVARES,N  SPRING                       ST,0111,101,01,34.0615,-118.2412
726,67TH ST,CENTRAL                      AV,1395,101,13,33.9784,-118.263
739,103RD ST,BROADWAY,1822,101,18,33.9428,-118.2784
759,3RD,MAIN,0135,108,01,34.0495,-118.2459
764,FEDORA ST,11TH                         ST,2055,122,20,34.0509,-118.2979
782,SLAUSON AV,WESTERN                      AV,1233,154,12,33.9892,-118.3089
813,VANOWEN,ELMER,1517,101,15,34.194,-118.3768
834,GRAND AV,84TH                         ST,1268,101,12,33.964,-118.2739
896,31ST ST,GRIFFITH                     AV,1367,501,13,33.9993,-118.2432
946,DONA PEGITA DR,DONA LOLA                    DR,1595,119,15,34.1317,-118.3806
949,FIGUEROA,HOOVER,1266,101,12,33.9661,-118.2849
