premis_cd,premis_desc
101,STREET
128,BUS STOP/LAYOVER (ALSO QUERY 124)
502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
405,CLOTHING STORE
102,SIDEWALK
501,SINGLE FAMILY DWELLING
502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
248,CELL PHONE STORE
750,CYBERSPACE
502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
501,SINGLE FAMILY DWELLING
501,SINGLE FAMILY DWELLING
502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
501,SINGLE FAMILY DWELLING
101,STREET
502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
501,SINGLE FAMILY DWELLING
101,STREET
501,SINGLE FAMILY DWELLING
501,SINGLE FAMILY DWELLING
501,SINGLE FAMILY DWELLING
502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
101,STREET
751,WEBSITE
501,SINGLE FAMILY DWELLING
203,OTHER BUSINESS
501,SINGLE FAMILY DWELLING
501,SINGLE FAMILY DWELLING
501,SINGLE FAMILY DWELLING
501,SINGLE FAMILY DWELLING
108,PARKING LOT
101,STREET
101,STREET
502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
501,SINGLE FAMILY DWELLING
501,SINGLE FAMILY DWELLING
504,OTHER RESIDENCE
501,SINGLE FAMILY DWELLING
501,SINGLE FAMILY DWELLING
501,SINGLE FAMILY DWELLING
502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
501,SINGLE FAMILY DWELLING
750,CYBERSPACE
605,AUTOMATED TELLER MACHINE (ATM)
501,SINGLE FAMILY DWELLING
203,OTHER BUSINESS
501,SINGLE FAMILY DWELLING
502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
501,SINGLE FAMILY DWELLING
502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
501,SINGLE FAMILY DWELLING
203,OTHER BUSINESS
108,PARKING LOT
108,PARKING LOT
501,SINGLE FAMILY DWELLING
501,SINGLE FAMILY DWELLING
502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
504,OTHER RESIDENCE
750,CYBERSPACE
502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
102,SIDEWALK
501,SINGLE FAMILY DWELLING
404,DEPARTMENT STORE
108,PARKING LOT
501,SINGLE FAMILY DWELLING
501,SINGLE FAMILY DWELLING
501,SINGLE FAMILY DWELLING
501,SINGLE FAMILY DWELLING
501,SINGLE FAMILY DWELLING
501,SINGLE FAMILY DWELLING
221,PUBLIC STORAGE
501,SINGLE FAMILY DWELLING
502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
101,STREET
501,SINGLE FAMILY DWELLING
502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
101,STREET
101,STREET
101,STREET
707,GARAGE/CARPORT
501,SINGLE FAMILY DWELLING
101,STREET
502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
501,SINGLE FAMILY DWELLING
501,SINGLE FAMILY DWELLING
501,SINGLE FAMILY DWELLING
501,SINGLE FAMILY DWELLING
501,SINGLE FAMILY DWELLING
501,SINGLE FAMILY DWELLING
501,SINGLE FAMILY DWELLING
101,STREET
101,STREET
501,SINGLE FAMILY DWELLING
750,CYBERSPACE
101,STREET
101,STREET
101,STREET
502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
501,SINGLE FAMILY DWELLING
501,SINGLE FAMILY DWELLING
502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
101,STREET
502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
501,SINGLE FAMILY DWELLING
750,CYBERSPACE
101,STREET
501,SINGLE FAMILY DWELLING
101,STREET
502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
501,SINGLE FAMILY DWELLING
750,CYBERSPACE
209,EQUIPMENT RENTAL
502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
501,SINGLE FAMILY DWELLING
501,SINGLE FAMILY DWELLING
502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
501,SINGLE FAMILY DWELLING
203,OTHER BUSINESS
101,STREET
501,SINGLE FAMILY DWELLING
502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
501,SINGLE FAMILY DWELLING
501,SINGLE FAMILY DWELLING
751,WEBSITE
501,SINGLE FAMILY DWELLING
750,CYBERSPACE
501,SINGLE FAMILY DWELLING
101,STREET
502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
750,CYBERSPACE
405,CLOTHING STORE
502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
501,SINGLE FAMILY DWELLING
101,STREET
501,SINGLE FAMILY DWELLING
502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
702,OFFICE BUILDING/OFFICE
501,SINGLE FAMILY DWELLING
726,POLICE FACILITY
501,SINGLE FAMILY DWELLING
501,SINGLE FAMILY DWELLING
801,MTA BUS
707,GARAGE/CARPORT
501,SINGLE FAMILY DWELLING
102,SIDEWALK
101,STREET
203,OTHER BUSINESS
